2023-04-23 01:55:51 {'arbitration_id': '0x17d', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': '7D', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x1c9', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': 'C9', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x1a1', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': 'A1', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x131', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': '31', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x1d0', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': 'D0', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x12f', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': '2F', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x2e3', 'data': '00A32C2100691011', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': 'E3', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x267', 'data': '00A32C2100002011', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '67', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x2ac', 'data': '00A32C2100603111', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': 'AC', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x21a', 'data': '00A32C2100604211', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '1A', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x268', 'data': '00A32C1E003D1011', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '68', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x25c', 'data': '00A32C1E008F2011', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '5C', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x22c', 'data': '00A32C1E00033019', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '2C', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x240', 'data': '00A32C1E00044011', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '40', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x27d', 'data': '00A32C1E00055019', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '7D', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x2c9', 'data': '00A32C0A00431000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': 'C9', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x2a1', 'data': '00A32C0A00452000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': 'A1', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x231', 'data': '00A32C0A00443100', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '31', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x2d0', 'data': '00A32C0A00444200', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': 'D0', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x22f', 'data': '00A32C2700000E00', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '2F', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x42f11', 'data': '002B', 'priority': '0', 'dgn_h': '004', 'dgn_l': '2F', 'dgn': '0042F', 'source_id': '11', 'name': 'UNKNOWN-0042F'}
2023-04-23 01:55:51 {'arbitration_id': '0xbd0111', 'data': '002B0D6F70', 'priority': '0', 'dgn_h': '0BD', 'dgn_l': '01', 'dgn': '0BD01', 'source_id': '11', 'name': 'UNKNOWN-0BD01'}
2023-04-23 01:55:51 {'arbitration_id': '0x685', 'data': '00', 'priority': '0', 'dgn_h': '000', 'dgn_l': '06', 'dgn': '00006', 'source_id': '85', 'name': 'UNKNOWN-00006'}
2023-04-23 01:55:51 {'arbitration_id': '0x85', 'data': '00140000001AE876', 'priority': '0', 'dgn_h': '000', 'dgn_l': '00', 'dgn': '00000', 'source_id': '85', 'name': 'UNKNOWN-00000'}
2023-04-23 01:55:51 {'arbitration_id': '0x185', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': '85', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x285', 'data': '00A2852B00441201', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '85', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x601', 'data': '00', 'priority': '0', 'dgn_h': '000', 'dgn_l': '06', 'dgn': '00006', 'source_id': '01', 'name': 'UNKNOWN-00006'}
2023-04-23 01:55:51 {'arbitration_id': '0x1', 'data': '00180000001B2EAD', 'priority': '0', 'dgn_h': '000', 'dgn_l': '00', 'dgn': '00000', 'source_id': '01', 'name': 'UNKNOWN-00000'}
2023-04-23 01:55:51 {'arbitration_id': '0x101', 'data': '00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '01', 'dgn': '00001', 'source_id': '01', 'name': 'UNKNOWN-00001'}
2023-04-23 01:55:51 {'arbitration_id': '0x201', 'data': '00B8012400000100', 'priority': '0', 'dgn_h': '000', 'dgn_l': '02', 'dgn': '00002', 'source_id': '01', 'name': 'UNKNOWN-00002'}
2023-04-23 01:55:51 {'arbitration_id': '0x701', 'data': '00082730FFFF0000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '07', 'dgn': '00007', 'source_id': '01', 'name': 'UNKNOWN-00007'}
2023-04-23 01:55:51 {'arbitration_id': '0x37d', 'data': '80FF00230000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': '7D', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x3ac', 'data': 'C0FF00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': 'AC', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x385', 'data': '00', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': '85', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x2145c11', 'data': '002B', 'priority': '0', 'dgn_h': '014', 'dgn_l': '5C', 'dgn': '0145C', 'source_id': '11', 'name': 'UNKNOWN-0145C'}
2023-04-23 01:55:51 {'arbitration_id': '0x1718511', 'data': '002B0D7513', 'priority': '0', 'dgn_h': '171', 'dgn_l': '85', 'dgn': '17185', 'source_id': '11', 'name': 'UNKNOWN-17185'}
2023-04-23 01:55:51 {'arbitration_id': '0x3e3', 'data': 'C0FF00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': 'E3', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x35c', 'data': '80FF00010000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': '5C', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x301', 'data': '0041', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': '01', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x37d', 'data': '80FF00220000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': '7D', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x32c', 'data': '80FF00010000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': '2C', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x31a', 'data': 'C0FF00000000', 'priority': '0', 'dgn_h': '000', 'dgn_l': '03', 'dgn': '00003', 'source_id': '1A', 'name': 'UNKNOWN-00003'}
2023-04-23 01:55:51 {'arbitration_id': '0x2140002', 'data': '55', 'priority': '0', 'dgn_h': '014', 'dgn_l': '00', 'dgn': '01400', 'source_id': '02', 'name': 'UNKNOWN-01400'}
2023-04-23 01:55:51 {'arbitration_id': '0x2140002', 'data': 'AA', 'priority': '0', 'dgn_h': '014', 'dgn_l': '00', 'dgn': '01400', 'source_id': '02', 'name': 'UNKNOWN-01400'}
2023-04-23 01:55:51 {'arbitration_id': '0x2158502', 'data': '5500', 'priority': '0', 'dgn_h': '015', 'dgn_l': '85', 'dgn': '01585', 'source_id': '02', 'name': 'UNKNOWN-01585'}
2023-04-23 01:55:51 {'arbitration_id': '0x2158502', 'data': 'AA00', 'priority': '0', 'dgn_h': '015', 'dgn_l': '85', 'dgn': '01585', 'source_id': '02', 'name': 'UNKNOWN-01585'}
2023-04-23 01:55:51 {'arbitration_id': '0x38d8502', 'data': '5500', 'priority': '0', 'dgn_h': '18D', 'dgn_l': '85', 'dgn': '18D85', 'source_id': '02', 'name': 'UNKNOWN-18D85'}
2023-04-23 01:55:51 {'arbitration_id': '0x19d8502', 'data': '5500', 'priority': '0', 'dgn_h': '19D', 'dgn_l': '85', 'dgn': '19D85', 'source_id': '02', 'name': 'UNKNOWN-19D85'}
2023-04-23 01:55:51 {'arbitration_id': '0x2b18502', 'data': '5500', 'priority': '0', 'dgn_h': '0B1', 'dgn_l': '85', 'dgn': '0B185', 'source_id': '02', 'name': 'UNKNOWN-0B185'}
2023-04-23 01:55:51 {'arbitration_id': '0x698502', 'data': '5500', 'priority': '0', 'dgn_h': '069', 'dgn_l': '85', 'dgn': '06985', 'source_id': '02', 'name': 'UNKNOWN-06985'}
2023-04-23 01:55:51 {'arbitration_id': '0x1a18502', 'data': '5500', 'priority': '0', 'dgn_h': '1A1', 'dgn_l': '85', 'dgn': '1A185', 'source_id': '02', 'name': 'UNKNOWN-1A185'}
2023-04-23 01:55:51 {'arbitration_id': '0x1718502', 'data': '5500', 'priority': '0', 'dgn_h': '171', 'dgn_l': '85', 'dgn': '17185', 'source_id': '02', 'name': 'UNKNOWN-17185'}
2023-04-23 01:55:51 {'arbitration_id': '0xb18502', 'data': '5500', 'priority': '0', 'dgn_h': '0B1', 'dgn_l': '85', 'dgn': '0B185', 'source_id': '02', 'name': 'UNKNOWN-0B185'}
2023-04-23 01:55:51 {'arbitration_id': '0x1018502', 'data': '5500', 'priority': '0', 'dgn_h': '101', 'dgn_l': '85', 'dgn': '10185', 'source_id': '02', 'name': 'UNKNOWN-10185'}
2023-04-23 01:55:51 {'arbitration_id': '0x1f58502', 'data': '5500', 'priority': '0', 'dgn_h': '1F5', 'dgn_l': '85', 'dgn': '1F585', 'source_id': '02', 'name': 'UNKNOWN-1F585'}
2023-04-23 01:55:51 {'arbitration_id': '0x3258502', 'data': '5500', 'priority': '0', 'dgn_h': '125', 'dgn_l': '85', 'dgn': '12585', 'source_id': '02', 'name': 'UNKNOWN-12585'}
2023-04-23 01:55:51 {'arbitration_id': '0x2858502', 'data': '5500', 'priority': '0', 'dgn_h': '085', 'dgn_l': '85', 'dgn': '08585', 'source_id': '02', 'name': 'UNKNOWN-08585'}
2023-04-23 01:55:51 {'arbitration_id': '0xc58502', 'data': '5500', 'priority': '0', 'dgn_h': '0C5', 'dgn_l': '85', 'dgn': '0C585', 'source_id': '02', 'name': 'UNKNOWN-0C585'}
2023-04-23 01:55:51 {'arbitration_id': '0x3418502', 'data': '5500', 'priority': '0', 'dgn_h': '141', 'dgn_l': '85', 'dgn': '14185', 'source_id': '02', 'name': 'UNKNOWN-14185'}
2023-04-23 01:55:51 {'arbitration_id': '0xbd8502', 'data': '5500', 'priority': '0', 'dgn_h': '0BD', 'dgn_l': '85', 'dgn': '0BD85', 'source_id': '02', 'name': 'UNKNOWN-0BD85'}
2023-04-23 01:55:51 {'arbitration_id': '0x38d8502', 'data': 'AA00', 'priority': '0', 'dgn_h': '18D', 'dgn_l': '85', 'dgn': '18D85', 'source_id': '02', 'name': 'UNKNOWN-18D85'}
2023-04-23 01:55:51 {'arbitration_id': '0x19d8502', 'data': 'AA09', 'priority': '0', 'dgn_h': '19D', 'dgn_l': '85', 'dgn': '19D85', 'source_id': '02', 'name': 'UNKNOWN-19D85'}
2023-04-23 01:55:51 {'arbitration_id': '0x2b18502', 'data': 'AA09', 'priority': '0', 'dgn_h': '0B1', 'dgn_l': '85', 'dgn': '0B185', 'source_id': '02', 'name': 'UNKNOWN-0B185'}
2023-04-23 01:55:51 {'arbitration_id': '0x698502', 'data': 'AA09', 'priority': '0', 'dgn_h': '069', 'dgn_l': '85', 'dgn': '06985', 'source_id': '02', 'name': 'UNKNOWN-06985'}
